node_id,longitude,latitude,node_type,source_id
N12d4804992_41d8971931,12.4804992,41.8971931,road_vertex,way/36780070
N12d4805017_41d8950271,12.4805017,41.8950271,road_vertex,way/218949681
N12d4805128_41d8924056,12.4805128,41.8924056,road_vertex,way/303405560
N12d4805137_41d8914809,12.4805137,41.8914809,road_vertex,way/123817495
N12d4805158_41d8880594,12.4805158,41.8880594,road_vertex,way/834012173
N12d4805209_41d8893274,12.4805209,41.8893274,road_vertex,way/1216287331
N12d4805223_41d8886455,12.4805223,41.8886455,road_vertex,way/1220408612
N12d4805232_41d8913743,12.4805232,41.8913743,road_vertex,way/1238101044
N12d4805303_41d8894320,12.4805303,41.8894320,road_vertex,way/43675696
N12d4805350_41d8884269,12.4805350,41.8884269,road_vertex,way/27350520
N12d4805361_41d8855693,12.4805361,41.8855693,road_vertex,way/40872929
N12d4805457_41d8908966,12.4805457,41.8908966,road_vertex,way/32504840
N12d4805473_41d8946715,12.4805473,41.8946715,road_vertex,way/222995600
N12d4805494_41d8924784,12.4805494,41.8924784,road_vertex,way/303405560
N12d4805545_41d8970544,12.4805545,41.8970544,road_vertex,way/36780070
N12d4805554_41d8886040,12.4805554,41.8886040,road_vertex,way/1220408612
N12d4805558_41d8889793,12.4805558,41.8889793,road_vertex,way/1005876887
N12d4805587_41d8946911,12.4805587,41.8946911,road_vertex,way/222995600
N12d4805597_41d8893655,12.4805597,41.8893655,road_vertex,way/1216287331
N12d4805614_41d8946953,12.4805614,41.8946953,road_vertex,way/1137951732
N12d4805661_41d8950354,12.4805661,41.8950354,road_vertex,way/218949681
N12d4805758_41d8947173,12.4805758,41.8947173,road_vertex,way/222995600
N12d4805759_41d8879751,12.4805759,41.8879751,road_vertex,way/1216287332
N12d4805819_41d8969854,12.4805819,41.8969854,road_vertex,way/36780070
N12d4805832_41d8894618,12.4805832,41.8894618,road_vertex,way/43675696
N12d4806049_41d8925698,12.4806049,41.8925698,road_vertex,way/303405560
N12d4806081_41d8907386,12.4806081,41.8907386,road_vertex,way/961979108
N12d4806237_41d8910880,12.4806237,41.8910880,road_vertex,way/1238101044
N12d4806243_41d8947899,12.4806243,41.8947899,road_vertex,way/222995600
N12d4806248_41d8861559,12.4806248,41.8861559,road_vertex,way/40872929
N12d4806253_41d8894158,12.4806253,41.8894158,road_vertex,way/1216287331
N12d4806260_41d8885678,12.4806260,41.8885678,road_vertex,way/1220408612
N12d4806301_41d8950067,12.4806301,41.8950067,road_vertex,way/1137951732
N12d4806302_41d8951749,12.4806302,41.8951749,road_vertex,way/1137951711
N12d4806314_41d8923259,12.4806314,41.8923259,road_vertex,way/1238101041
N12d4806319_41d8895400,12.4806319,41.8895400,road_vertex,way/961979105
N12d4806352_41d8950444,12.4806352,41.8950444,road_vertex,way/218949681
N12d4806403_41d8894859,12.4806403,41.8894859,road_vertex,way/43675696
N12d4806403_41d8920870,12.4806403,41.8920870,road_vertex,way/123817471
N12d4806418_41d8844906,12.4806418,41.8844906,road_vertex,way/1052631578
N12d4806468_41d8926275,12.4806468,41.8926275,road_vertex,way/303405560
N12d4806530_41d8921177,12.4806530,41.8921177,road_vertex,way/123817471
N12d4806578_41d8894316,12.4806578,41.8894316,road_vertex,way/1216287331
N12d4806582_41d8895467,12.4806582,41.8895467,road_vertex,way/961979105
N12d4806636_41d8884063,12.4806636,41.8884063,road_vertex,way/27350520
N12d4806640_41d8950107,12.4806640,41.8950107,road_vertex,way/1137951732
N12d4806654_41d8951809,12.4806654,41.8951809,road_vertex,way/1137951711
N12d4806667_41d8928805,12.4806667,41.8928805,road_vertex,way/1238101040
N12d4806722_41d8948667,12.4806722,41.8948667,road_vertex,way/222995600
N12d4806725_41d8867901,12.4806725,41.8867901,road_vertex,way/143725205
N12d4806726_41d8915619,12.4806726,41.8915619,road_vertex,way/123817469
N12d4806838_41d8915347,12.4806838,41.8915347,road_vertex,way/123817495
N12d4806855_41d8950113,12.4806855,41.8950113,road_vertex,way/1137951732
N12d4806863_41d8921213,12.4806863,41.8921213,road_vertex,way/123817471
N12d4806904_41d8894416,12.4806904,41.8894416,road_vertex,way/1216287331
N12d4806918_41d8950475,12.4806918,41.8950475,road_vertex,way/218949681
N12d4806942_41d8854439,12.4806942,41.8854439,road_vertex,way/40872929
N12d4806991_41d8951866,12.4806991,41.8951866,road_vertex,way/1137951718
N12d4806997_41d8883834,12.4806997,41.8883834,road_vertex,way/27350520
N12d4807003_41d8885513,12.4807003,41.8885513,road_vertex,way/1220408612
