edge_id,from_node_id,to_node_id,distance_km,travel_time_min,highway,surface,access,oneway,lit,wheelchair,routable_walk,source_id
Eway/4951346_5,N12d4845345_41d8936344,N12d4845669_41d8935590,0.008803,0.11,service,sett,,,,,yes,way/4951346
Eway/4951346_5_R,N12d4845669_41d8935590,N12d4845345_41d8936344,0.008803,0.11,service,sett,,,,,yes,way/4951346
Eway/4951346_6,N12d4845669_41d8935590,N12d4845943_41d8934736,0.009763,0.12,service,sett,,,,,yes,way/4951346
Eway/4951346_6_R,N12d4845943_41d8934736,N12d4845669_41d8935590,0.009763,0.12,service,sett,,,,,yes,way/4951346
Eway/10124248_0,N12d4819539_41d8937799,N12d4819604_41d8937757,0.000712,0.01,footway,paved,,,,,yes,way/10124248
Eway/10124248_0_R,N12d4819604_41d8937757,N12d4819539_41d8937799,0.000712,0.01,footway,paved,,,,,yes,way/10124248
Eway/10140484_0,N12d4818559_41d8937508,N12d4818435_41d8936945,0.006344,0.08,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_0_R,N12d4818435_41d8936945,N12d4818559_41d8937508,0.006344,0.08,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_1,N12d4818435_41d8936945,N12d4818315_41d8936528,0.004742,0.06,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_1_R,N12d4818315_41d8936528,N12d4818435_41d8936945,0.004742,0.06,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_2,N12d4818315_41d8936528,N12d4818153_41d8936216,0.003719,0.04,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_2_R,N12d4818153_41d8936216,N12d4818315_41d8936528,0.003719,0.04,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_3,N12d4818153_41d8936216,N12d4818004_41d8936014,0.002562,0.03,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_3_R,N12d4818004_41d8936014,N12d4818153_41d8936216,0.002562,0.03,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_4,N12d4818004_41d8936014,N12d4817816_41d8935796,0.002881,0.03,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_4_R,N12d4817816_41d8935796,N12d4818004_41d8936014,0.002881,0.03,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_5,N12d4817816_41d8935796,N12d4817612_41d8935581,0.002927,0.04,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_5_R,N12d4817612_41d8935581,N12d4817816_41d8935796,0.002927,0.04,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_6,N12d4817612_41d8935581,N12d4816462_41d8934483,0.015481,0.19,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_6_R,N12d4816462_41d8934483,N12d4817612_41d8935581,0.015481,0.19,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_7,N12d4816462_41d8934483,N12d4816090_41d8934114,0.005130,0.06,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10140484_7_R,N12d4816090_41d8934114,N12d4816462_41d8934483,0.005130,0.06,tertiary,sett,,no,yes,,yes,way/10140484
Eway/10639982_0,N12d4807431_41d8950454,N12d4807793_41d8950386,0.003090,0.04,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_1,N12d4807793_41d8950386,N12d4808114_41d8950308,0.002795,0.03,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_2,N12d4808114_41d8950308,N12d4808489_41d8950187,0.003383,0.04,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_3,N12d4808489_41d8950187,N12d4808784_41d8950065,0.002793,0.03,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_4,N12d4808784_41d8950065,N12d4809211_41d8949825,0.004429,0.05,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_5,N12d4809211_41d8949825,N12d4809509_41d8949585,0.003634,0.04,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_6,N12d4809509_41d8949585,N12d4809826_41d8949253,0.004529,0.05,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_7,N12d4809826_41d8949253,N12d4810121_41d8948807,0.005528,0.07,tertiary,sett,,yes,yes,,yes,way/10639982
Eway/10639982_8,N12d4810121_41d8948807,N12d4810368_41d8948337,0.005612,0.07,tertiary,sett,,yes,yes,,yes,way/10639982
